n przestawienia_mysort porównania_mysort
500 2378 4969
500 3232 5201
500 2513 4400
500 3081 5313
500 2452 4467
500 2549 4634
500 2323 4439
500 2996 4992
500 3058 5542
500 3013 4924
500 2944 5180
500 2987 4962
500 2657 4814
500 2601 4365
500 2678 4762
500 2619 4464
500 2522 4597
500 2619 4734
500 2897 4655
500 2304 4580
500 2578 4654
500 2363 4458
500 2890 4816
500 2636 5262
500 2569 4419
500 3019 5092
500 2995 4698
500 2665 5084
500 2397 5217
500 3377 5016
500 2894 4799
500 2580 4411
500 2694 4510
500 2805 5007
500 2476 4331
500 3286 5226
500 2693 4625
500 3181 4887
500 2892 4858
500 2713 5194
500 2673 4702
500 2651 4611
500 2623 4381
500 3047 5095
500 2866 5592
500 2434 4445
500 2329 4274
500 2886 4766
500 2338 4831
500 2522 4688
500 3126 5188
500 2580 4780
500 2510 4674
500 2712 4782
500 3033 5615
500 2506 4784
500 2622 5271
500 3002 5518
500 3245 5392
500 2711 4804
500 2219 4974
500 2641 4686
500 2559 4797
500 2495 4380
500 2379 5104
500 2823 4817
500 2541 4692
500 2436 4730
500 2301 4601
500 2482 4508
500 2770 4593
500 3395 5233
500 2666 4745
550 2538 5254
550 3137 5717
550 2696 5396
550 3294 5946
550 3470 5871
550 2833 4913
550 2842 4909
550 3679 5407
550 3296 5673
550 2978 5169
550 3532 6317
550 2641 5127
550 2711 4805
550 3349 5345
550 3061 5126
550 2616 4933
550 3156 5239
550 2638 5204
550 3711 5737
550 2721 4961
550 2950 5277
550 2628 5470
550 2814 5928
550 3483 5431
550 2960 5644
550 2925 5045
550 2829 4918
550 3069 5182
550 2615 5505
550 3259 5602
550 3018 5289
550 3276 5474
550 3090 5540
550 3088 5170
550 2903 5182
550 2851 5309
550 3082 5101
550 2943 5354
550 3599 5983
550 2709 5267
550 3238 5502
550 2703 6048
550 2681 5062
550 2545 4972
550 2703 5119
550 2889 5641
550 2797 5269
550 3108 5430
550 3130 5460
550 2707 5408
550 3674 5895
550 3095 5162
550 2653 5014
550 3276 5428
550 2793 5279
550 2889 5288
550 3312 6139
550 3273 6241
550 3060 5433
550 3574 6136
550 2862 5653
550 3628 5572
550 2722 5175
550 2796 5639
550 2683 4884
550 2966 5340
550 3506 5363
550 3024 5342
550 2691 5007
550 2804 5353
550 3874 5889
550 3478 5366
550 2963 5531
550 2800 5252
550 3592 5576
550 3968 5778
550 2667 4836
550 3212 5293
550 2627 4790
550 3275 5466
550 3319 5439
550 2579 5287
550 2648 5429
550 2886 5254
550 3459 5257
550 3520 5817
550 3562 5585
550 2805 5152
550 3205 5424
550 2548 5133
550 3005 6008
550 3058 5272
550 3152 5651
550 2547 4835
550 3615 6233
550 2966 5200
550 3298 5745
550 2588 4938
550 2552 5495
550 3324 5010
600 3045 6315
600 3456 6587
600 2792 5496
600 3595 6274
600 3526 6101
600 3038 5705
600 3281 6372
600 3496 6722
600 3079 5606
600 3255 6359
600 2988 5836
600 3204 5675
600 3223 5549
600 2979 5730
600 3380 5777
600 3260 5889
600 3353 5746
600 3066 5646
600 3963 6505
600 2890 5359
600 3463 5840
600 2942 5605
600 3012 5625
600 2605 6294
600 3238 5409
600 3890 6493
600 3134 5652
600 2972 5668
600 3022 5523
600 3843 5787
600 3513 5795
600 3359 6067
600 3781 6401
600 3832 6056
600 2933 5773
600 3302 5853
600 3419 5905
600 3284 5751
600 3001 5385
600 3669 6009
600 3947 6863
600 3278 5864
600 3221 5909
600 3464 5585
600 3462 5736
600 3179 5492
600 3379 5730
600 4485 7172
600 3191 5802
600 3083 5820
600 3508 5710
600 3232 5966
600 4029 6318
600 3396 5803
600 3728 5952
600 3546 6247
600 3096 5875
600 3715 6554
600 3459 5661
600 3777 6430
600 2843 5820
600 3411 7106
600 3461 6507
600 3410 5788
600 3468 5970
600 3410 5781
600 2978 6321
600 3520 6057
600 3180 5761
600 3500 5605
600 3032 5460
600 3406 6085
600 3478 6411
600 2690 6413
600 3042 5780
600 3879 6241
600 5530 7666
600 3103 5506
600 3294 5927
600 3567 5747
600 3406 5990
600 3870 6328
600 3784 6017
600 3351 5767
600 3999 6282
600 3832 6271
600 3167 6037
600 3564 5847
600 3813 6854
600 4121 6092
600 3771 5873
600 3360 6649
600 3694 6504
600 3339 5838
600 3413 5668
600 3295 6121
600 3673 6052
600 3418 5832
600 3304 5814
600 2923 5911
650 3829 6473
650 3589 6354
650 3421 5926
650 3616 6643
650 3493 6650
650 3916 6205
650 4313 6981
