n przestawienia_quick porównania_quick
350 1700 3168
350 1988 3394
350 1809 3012
350 1612 2846
350 1767 3209
350 1911 3359
350 2067 3035
350 1823 3085
350 1631 2767
350 1932 3213
350 1813 3330
350 1796 3228
350 1604 2912
350 1940 3468
350 1662 2935
350 1788 3002
350 2483 3526
350 1603 2957
350 1589 2820
350 2104 3438
350 1800 3271
350 1616 2842
350 1667 2896
350 2087 3183
350 2165 3374
350 2261 3606
350 1718 2804
350 1785 3093
350 1996 3360
350 1632 3233
350 1534 2710
350 1735 3113
350 1612 3001
350 1644 2861
350 2074 3089
350 1909 3043
350 1754 3509
350 2011 3199
350 1728 3085
350 1857 3088
350 1837 3416
350 1936 2932
350 1674 2976
350 1655 2918
350 1684 2956
350 1718 3002
350 1833 3236
350 2140 3159
350 1699 2843
350 1514 3515
350 1876 3047
350 1484 3457
350 1653 2932
350 2451 3390
350 1715 2741
350 1702 3144
350 1774 3149
350 2054 3224
350 1631 2828
350 1790 3161
350 1616 3314
350 1564 2774
350 1942 3578
350 1968 3346
350 1776 2973
350 1827 3204
400 2232 3758
400 1828 3595
400 1962 3539
400 2272 3742
400 2015 3976
400 1872 3402
400 2341 3506
400 1908 3481
400 1942 3844
400 1969 3654
400 2114 3446
400 1839 3675
400 1853 3313
400 2276 3691
400 2216 3580
400 1993 3640
400 2033 3813
400 2186 3678
400 2186 3621
400 2393 4460
400 1909 3639
400 2108 3353
400 2331 3967
400 2471 3841
400 2055 3411
400 2172 3523
400 2364 3512
400 2449 3741
400 2281 3808
400 2094 3461
400 2160 3847
400 2223 4503
400 1929 3924
400 2073 3676
400 2268 3941
400 2237 4188
400 1994 3448
400 1943 3931
400 2155 3598
400 2082 3486
400 1974 3426
400 2240 3575
400 2153 4147
400 2242 3840
400 2323 3924
400 2448 3987
400 2258 3693
400 2107 3633
400 2191 4224
400 1837 3482
400 2178 3731
400 2279 3737
400 2719 4105
400 1964 3555
400 2086 3747
400 2220 3644
400 1944 3671
400 2012 3440
400 2147 3386
400 1877 3637
400 2122 3662
400 1931 3425
400 1703 3653
400 1942 3422
400 2106 3934
400 2181 3662
400 2026 3325
400 2099 3339
400 2280 3626
400 2152 3694
400 2139 3732
400 2154 3771
400 1981 3407
400 2174 3476
