n przestawienia_dpqs porównania_dpqs
500 2741 6888
500 2876 6944
500 2799 7991
500 2947 7542
500 2711 7676
500 2876 6999
500 2582 9862
500 2799 8480
500 2949 7275
500 2946 9327
500 2745 8623
500 2627 9482
500 3145 9064
500 2758 7249
500 2669 7420
500 2648 10265
500 2793 9363
500 2805 10895
500 2639 7332
500 2813 8002
500 2514 9325
500 2920 10008
500 2755 8370
500 2855 10932
500 2775 7998
500 3154 7193
500 2736 9106
500 2856 9524
500 2675 9344
500 3041 7125
500 3220 10678
500 3088 6854
500 2743 7705
500 2941 7866
500 3071 9577
500 2815 8562
500 2648 10256
500 2891 7071
500 2947 8484
500 2953 8431
500 2890 11144
500 2911 7938
500 2677 7907
500 2834 7839
500 2865 8929
500 3021 7275
500 2343 12063
500 2695 7770
500 2659 7560
500 2838 7840
500 2593 8111
500 2610 7853
500 2740 8344
500 2917 8325
500 2492 8303
500 3026 7066
500 2612 7874
500 2727 8419
550 2796 11577
550 2941 12446
550 3136 10330
550 3238 7974
550 3296 9549
550 3039 10292
550 2975 10705
550 2899 8547
550 3216 10542
550 3490 9540
550 3307 9412
550 3360 9542
550 3005 8456
550 3342 9607
550 3210 7715
550 2771 10103
550 3365 8406
550 3062 9226
550 3365 12779
550 3036 9773
550 3155 8928
550 3269 10796
550 3507 11577
550 3263 9339
550 3313 9735
550 3168 9291
550 2979 8075
550 2787 8900
550 3171 7681
550 2861 9942
550 3125 9187
550 3179 8539
550 3305 8168
550 3083 10264
550 2940 11950
550 3049 10733
550 3122 8279
550 2917 8232
550 3217 11347
550 3071 9131
550 3100 8838
550 3243 10143
550 3184 11081
550 3088 8442
550 3241 10839
550 3370 7603
550 3092 10282
550 3331 9518
550 2999 8411
550 3123 11708
550 2836 9932
550 3232 10481
550 3408 9020
550 3736 11659
550 3723 11138
550 2762 11840
550 2941 9122
550 2973 8671
550 3330 9226
550 2945 8909
550 3196 8555
550 3096 8416
550 2996 11434
550 3302 9451
550 3240 12296
550 2882 9339
550 3344 11853
550 2856 10890
550 3401 8352
550 3451 9078
550 3270 8649
550 3040 13147
550 3045 8256
550 3181 9023
550 3153 8851
550 2963 9638
550 3174 11268
550 3052 8837
550 3550 11727
550 3130 9170
550 3261 9922
550 3633 10792
550 3257 10321
550 3328 11035
550 3313 9123
550 3293 8448
550 3508 8630
550 3599 9703
550 2827 9247
550 2817 8136
550 3320 8610
550 3798 9348
550 3288 10683
550 3131 9802
550 3023 11776
550 3276 10294
550 3240 8811
550 3183 7955
550 3093 8440
550 3099 8702
600 3437 17397
600 3127 11605
600 3281 15621
600 3395 12939
600 3425 13609
600 3367 11205
600 2971 13701
600 3297 9466
600 3457 9428
600 3593 10776
600 3679 12385
600 3797 10121
600 3725 11366
600 3609 9149
600 3549 10689
600 3808 12377
600 3453 11220
600 3399 11492
600 3564 8588
600 3144 9906
600 3917 9806
600 3522 11387
600 3414 10861
600 3925 9290
600 3575 8777
600 3571 12426
600 4000 12291
600 3744 10933
600 3839 9505
600 3432 11165
600 3333 12820
600 3072 11083
600 3419 12704
600 3571 11256
600 3482 14632
600 3907 13029
600 3389 9522
600 3178 9446
600 4034 12319
600 3259 9954
600 3459 11586
600 3561 10024
600 3368 13096
600 3451 8679
600 3717 8743
600 3190 14251
600 3303 9736
600 3538 9238
600 3869 13006
600 3555 10155
600 3201 12344
600 3213 11991
600 3381 12262
600 3474 8851
600 3790 10289
600 3461 9385
600 3408 12235
600 3861 9840
600 3870 9605
600 3587 10339
600 3204 10879
600 3258 10268
600 3120 9983
600 3561 9269
600 3626 8596
600 3667 9394
600 3175 12333
600 3656 12443
600 3437 10573
600 3509 10467
600 3805 10647
600 3651 9636
600 3712 13998
600 3494 9326
600 3497 8479
600 3504 10591
600 3550 12287
600 3805 15591
600 3696 18899
600 3135 9948
600 3576 10855
600 3648 10651
600 3124 13211
600 3200 11834
600 3157 11794
600 3434 9384
600 3180 9923
600 3724 11847
600 3473 9977
600 3598 8553
600 3376 10279
600 3228 10540
600 3619 9238
600 3364 8526
600 3420 10529
600 3675 11970
600 3653 9045
600 3299 11001
600 3917 10666
600 3420 10442
650 3757 11756
650 4210 11762
650 4130 10650
650 4092 13201
650 3846 12603
650 4599 11868
650 3687 10399
650 3307 12310
650 3904 15162
650 3521 12665
650 3743 12367
650 3517 10981
650 3943 11607
650 3265 11341
650 4001 11304
650 4048 12179
650 3549 10378
650 3668 10891
650 4001 10585
650 4133 10162
650 3855 15994
650 4095 10737
650 4537 12653
650 4129 13384
650 3877 10325
650 4293 17629
650 4110 9793
650 3801 11264
650 4095 13599
650 4120 10442
650 3627 10995
650 3960 11513
650 3954 12847
650 4103 12096
650 3658 12256
650 4210 11913
650 3714 10977
650 4457 10028
650 3997 15398
650 3734 10446
650 3416 11850
650 3838 12386
650 3707 10425
650 3907 11867
650 4111 10475
650 4139 10625
650 3798 9918
650 3630 15497
650 4082 13189
650 3846 10795
650 3410 10319
650 4315 15671
650 3907 10730
650 3646 11577
650 4059 11900
650 4126 9744
650 4233 12098
650 4250 12927
650 3799 12268
650 3910 10464
650 3745 12232
650 3883 19602
650 3742 11602
650 3532 11867
650 4024 10844
650 3968 11286
650 4081 10446
650 4100 10953
650 4043 14787
650 3941 12068
650 3464 11660
650 3367 12347
650 3902 19278
650 3528 10958
650 3761 12579
650 3681 12453
650 3247 13811
650 3657 10707
650 4726 15640
650 3829 10385
650 4076 14729
650 3486 11395
650 3765 11472
650 3929 13888
650 3709 14251
650 3984 13973
650 4192 9778
650 3997 10966
650 3709 11372
650 3942 10554
650 4272 13891
650 3488 10843
650 4385 13499
650 4178 14754
650 3508 13192
650 3624 9778
650 4061 13307
650 3775 11024
650 3738 11386
650 3934 10368
