size_n, comp_avg,  comp_maks, reads_avg, reads_maks, h_avg,   h_final   h_maks \n
60000, 26.024425, 53796.000000, 67.231817, 161384.000000, 15013.775092, 40.000000, 59950.000000 
70000, 26.399971, 53118.000000, 68.280350, 159347.000000, 17511.877993, 44.000000, 69950.000000 
70000, 26.368457, 82260.000000, 68.185886, 246776.000000, 17515.208836, 41.000000, 69950.000000 
70000, 26.385650, 54346.000000, 68.216014, 163035.000000, 17515.602057, 39.000000, 69950.000000 
70000, 26.411321, 77577.000000, 68.281750, 232726.000000, 17512.154779, 39.000000, 69950.000000 
70000, 26.390250, 80883.000000, 68.240779, 242644.000000, 17513.785607, 43.000000, 69950.000000 
70000, 26.413807, 83935.000000, 68.312071, 251802.000000, 17513.368914, 47.000000, 69950.000000 
70000, 26.370864, 39961.000000, 68.172300, 119880.000000, 17513.320557, 43.000000, 69950.000000 
70000, 26.360429, 56979.000000, 68.162071, 170930.000000, 17512.998343, 41.000000, 69950.000000 
70000, 26.332064, 53488.000000, 68.086364, 160461.000000, 17514.595793, 47.000000, 69950.000000 
70000, 26.364421, 99733.000000, 68.181157, 299196.000000, 17513.769386, 42.000000, 69950.000000 
70000, 26.402957, 56245.000000, 68.285707, 168732.000000, 17513.409486, 51.000000, 69950.000000 
70000, 26.323071, 57600.000000, 68.074507, 172796.000000, 17514.983936, 42.000000, 69950.000000 
70000, 26.373229, 87363.000000, 68.188571, 262085.000000, 17513.367329, 44.000000, 69950.000000 
70000, 26.342421, 58354.000000, 68.110679, 175059.000000, 17514.308529, 39.000000, 69950.000000 
70000, 26.369657, 85846.000000, 68.186886, 257535.000000, 17513.065729, 41.000000, 69950.000000 
70000, 26.385407, 94803.000000, 68.226957, 284402.000000, 17517.563536, 49.000000, 69950.000000 
70000, 26.390621, 88320.000000, 68.253564, 264955.000000, 17511.299593, 39.000000, 69950.000000 
70000, 26.383429, 39492.000000, 68.221093, 118469.000000, 17513.950043, 42.000000, 69950.000000 
70000, 26.410629, 61641.000000, 68.293307, 184918.000000, 17514.237900, 38.000000, 69950.000000 
70000, 26.379414, 84364.000000, 68.217914, 253089.000000, 17513.314986, 45.000000, 69950.000000 
80000, 26.644762, 71103.000000, 68.946700, 213305.000000, 20013.117619, 40.000000, 79950.000000 
80000, 26.674969, 85495.000000, 69.032475, 256482.000000, 20012.578681, 44.000000, 79950.000000 
80000, 26.641044, 67770.000000, 68.940494, 203303.000000, 20015.456056, 37.000000, 79950.000000 
80000, 26.639588, 51156.000000, 68.937919, 153461.000000, 20014.491237, 48.000000, 79950.000000 
80000, 26.686312, 38916.000000, 69.049262, 116741.000000, 20016.302981, 39.000000, 79950.000000 
80000, 26.680481, 59628.000000, 69.041944, 178880.000000, 20015.214969, 45.000000, 79950.000000 
80000, 26.634450, 56853.000000, 68.909350, 170552.000000, 20013.465638, 38.000000, 79950.000000 
80000, 26.648712, 80304.000000, 68.958975, 240905.000000, 20014.086194, 38.000000, 79950.000000 
80000, 26.684413, 71649.000000, 69.045325, 214942.000000, 20012.400975, 40.000000, 79950.000000 
80000, 26.671394, 97632.000000, 69.014869, 292889.000000, 20015.297819, 39.000000, 79950.000000 
80000, 26.658800, 62577.000000, 68.980738, 187727.000000, 20013.140244, 42.000000, 79950.000000 
80000, 26.668306, 56941.000000, 68.998919, 170820.000000, 20015.494837, 48.000000, 79950.000000 
80000, 26.628181, 44472.000000, 68.890425, 133409.000000, 20014.471869, 39.000000, 79950.000000 
80000, 26.660344, 79222.000000, 68.984450, 237663.000000, 20012.760431, 40.000000, 79950.000000 
80000, 26.659531, 98145.000000, 68.984506, 294428.000000, 20012.143700, 45.000000, 79950.000000 
80000, 26.638613, 48591.000000, 68.930569, 145768.000000, 20014.063069, 40.000000, 79950.000000 
80000, 26.663469, 80770.000000, 68.988056, 242307.000000, 20013.345206, 39.000000, 79950.000000 
80000, 26.660788, 58782.000000, 68.985563, 176339.000000, 20015.829894, 42.000000, 79950.000000 
80000, 26.679200, 97872.000000, 69.031413, 293609.000000, 20013.639387, 45.000000, 79950.000000 
80000, 26.647919, 51051.000000, 68.931025, 153148.000000, 20015.586925, 41.000000, 79950.000000 
90000, 26.933356, 72003.000000, 69.726250, 216002.000000, 22514.989711, 49.000000, 89950.000000 
90000, 26.938272, 115444.000000, 69.750778, 346329.000000, 22512.728139, 47.000000, 89950.000000 
90000, 26.919333, 92988.000000, 69.690422, 278960.000000, 22513.829283, 42.000000, 89950.000000 
90000, 26.941117, 92967.000000, 69.758061, 278897.000000, 22513.379072, 40.000000, 89950.000000 
90000, 26.930533, 107856.000000, 69.722739, 323563.000000, 22513.802306, 40.000000, 89950.000000 
90000, 26.917811, 56619.000000, 69.693889, 169850.000000, 22514.599317, 44.000000, 89950.000000 
90000, 26.955106, 129588.000000, 69.811428, 388760.000000, 22511.416750, 38.000000, 89950.000000 
