size_n, comp_avg,  comp_maks, reads_avg, reads_maks, h_avg,   h_final   h_maks \n
50000, 34759.677050, 99999.000000, 9760.874120, 49781.000000, 32141.298040, 30292.000000, 50000.000000 
50000, 34857.710620, 99999.000000, 9858.906130, 49840.000000, 32243.797730, 30448.000000, 50000.000000 
50000, 34841.650460, 99999.000000, 9842.846780, 49924.000000, 32181.048830, 30367.000000, 50000.000000 
50000, 34806.201510, 99999.000000, 9807.399710, 49812.000000, 32132.342490, 30179.000000, 50000.000000 
50000, 34844.578390, 99999.000000, 9845.774380, 49889.000000, 32167.423920, 30400.000000, 50000.000000 
50000, 34851.204180, 99999.000000, 9852.401380, 49863.000000, 32173.360420, 30279.000000, 50000.000000 
50000, 34818.776190, 99999.000000, 9819.973860, 49680.000000, 32144.559950, 30232.000000, 50000.000000 
50000, 34775.917180, 99999.000000, 9777.115350, 49817.000000, 32161.018270, 30182.000000, 50000.000000 
50000, 34849.871070, 99999.000000, 9851.068350, 49659.000000, 32132.604760, 30271.000000, 50000.000000 
50000, 34836.165030, 99999.000000, 9837.361970, 49856.000000, 32154.763030, 30305.000000, 50000.000000 
50000, 34788.071210, 99999.000000, 9789.268450, 49865.000000, 32144.886300, 30275.000000, 50000.000000 
50000, 34824.119810, 99999.000000, 9825.315920, 49616.000000, 32193.116380, 30388.000000, 50000.000000 
50000, 34840.558550, 99999.000000, 9841.754820, 49824.000000, 32175.922370, 30372.000000, 50000.000000 
50000, 34864.858320, 99999.000000, 9866.054260, 49915.000000, 32185.470450, 30405.000000, 50000.000000 
50000, 34786.867640, 99999.000000, 9788.064590, 49772.000000, 32164.911960, 30304.000000, 50000.000000 
50000, 34834.285220, 99999.000000, 9835.481690, 49855.000000, 32191.708210, 30352.000000, 50000.000000 
50000, 34872.795050, 99999.000000, 9873.991720, 49749.000000, 32192.774580, 30332.000000, 50000.000000 
50000, 34845.498370, 99999.000000, 9846.693810, 49625.000000, 32194.927390, 30455.000000, 50000.000000 
60000, 41824.529317, 119999.000000, 11825.726092, 59733.000000, 38610.790617, 36386.000000, 60000.000000 
60000, 41842.340750, 119999.000000, 11843.538558, 59877.000000, 38580.806750, 36262.000000, 60000.000000 
60000, 41826.112833, 119999.000000, 11827.310075, 59826.000000, 38587.989067, 36330.000000, 60000.000000 
60000, 41850.205083, 119999.000000, 11851.402500, 59871.000000, 38572.022933, 36309.000000, 60000.000000 
60000, 41776.323350, 119999.000000, 11777.520025, 59817.000000, 38585.765033, 36398.000000, 60000.000000 
60000, 41816.065067, 119999.000000, 11817.261900, 59702.000000, 38612.268683, 36379.000000, 60000.000000 
60000, 41813.960650, 119999.000000, 11815.156442, 59652.000000, 38623.897500, 36504.000000, 60000.000000 
60000, 41809.786917, 119999.000000, 11810.983100, 59670.000000, 38654.397308, 36457.000000, 60000.000000 
60000, 41812.625475, 119999.000000, 11813.822408, 59960.000000, 38625.202133, 36367.000000, 60000.000000 
60000, 41774.250867, 119999.000000, 11775.447975, 59947.000000, 38610.280475, 36346.000000, 60000.000000 
60000, 41848.170992, 119999.000000, 11849.367758, 59953.000000, 38643.849400, 36387.000000, 60000.000000 
60000, 41773.646375, 119999.000000, 11774.843133, 59632.000000, 38601.952100, 36388.000000, 60000.000000 
