n przestawienia porównania
900 1318 3409
900 1353 3000
900 2875 5052
900 939 3082
900 2059 3344
900 1505 2741
900 962 1958
900 1132 1836
900 1018 1701
900 2019 4040
900 1646 3381
900 1403 2701
900 1968 3739
900 1420 2797
900 1227 3230
900 1651 2350
900 885 2704
900 1949 2929
900 914 1984
900 1094 2263
900 1309 2607
900 999 2721
900 1984 3707
900 1135 1772
900 1406 2955
900 1222 3756
900 1338 2164
900 2836 4555
900 1848 3375
900 1639 3683
900 1289 2785
900 540 1495
900 1299 2952
900 674 2155
900 1812 3229
900 971 2156
900 1374 3067
900 1109 2360
900 960 2383
900 2267 2998
900 2426 3736
900 757 1976
900 1109 2285
900 1701 3285
900 1039 2819
900 1426 2338
900 1291 3649
900 839 1779
900 1989 2967
900 1477 3447
900 1825 3991
900 2516 4862
900 1836 3710
900 2032 3648
900 1739 2960
900 2517 4972
900 1248 2675
900 2090 2887
900 1618 2589
900 1391 2319
900 1192 1863
900 1560 3339
900 1301 2926
900 970 2531
900 827 2153
900 1155 3104
900 1567 3576
900 804 2407
900 1000 3007
900 1700 3249
900 1509 3744
900 2511 4385
900 1261 2798
900 1876 3560
900 765 1967
900 2224 3940
900 2317 3698
900 1096 4035
900 2644 3464
900 3408 4564
900 1115 3695
1000 2789 4091
1000 3291 5354
1000 1862 2712
1000 1881 3284
1000 2947 3961
1000 2916 3846
1000 1613 2906
1000 618 3159
1000 2227 3284
1000 1183 2431
1000 1302 2236
1000 2782 4008
1000 2436 3900
1000 2425 4107
1000 618 3473
1000 2165 4485
1000 2179 3508
1000 3108 6099
1000 1413 3256
1000 2634 4617
1000 2910 5822
1000 974 2762
1000 1396 3810
1000 500 1531
1000 1473 2269
1000 1341 2787
1000 1897 4890
1000 1639 2581
1000 3307 6216
1000 1544 3329
1000 1297 2621
1000 1269 2816
1000 1348 3082
1000 1554 3557
1000 1558 4005
1000 2093 3022
1000 2366 3876
1000 3033 4669
1000 1509 2897
1000 1943 3792
1000 1394 3258
1000 870 3722
1000 3600 6268
1000 1051 2510
1000 2164 4262
1000 1770 3295
1000 1687 3532
1000 1177 2215
1000 2297 4556
1000 1135 2187
1000 780 2881
1000 1140 2123
1000 2759 4144
1000 1576 2728
1000 1295 2344
1000 2858 3524
1000 3648 5881
1000 2593 4329
1000 1610 3676
