n przestawienia porównania
1000 2512 3521
1000 3765 4778
1000 1222 2229
1000 243 1250
1000 1244 2252
1000 627 1631
1000 1063 2070
1000 2515 3527
1000 1862 2872
1000 756 1765
1000 177 1184
1000 1013 2021
1000 1934 2944
1000 116 1120
1000 412 1418
1000 858 1864
1000 32 1036
1000 213 1220
1000 69 1073
1000 1004 2013
1000 1264 2276
1000 724 1731
1000 86 1091
1000 1726 2739
1000 211 1216
1000 311 1317
1000 667 1672
1000 361 1368
1000 206 1210
1000 67 1071
1000 558 1567
1000 1678 2686
1000 1552 2557
1000 120 1125
1000 745 1755
1000 1653 2661
1000 649 1654
1000 55 1058
1000 1784 2793
1000 592 1598
1000 249 1254
1000 1130 2136
1000 972 1980
1000 1500 2507
1000 1230 2238
1000 1025 2033
1000 170 1175
1000 950 1956
1000 2810 3821
1000 1881 2888
1000 1447 2453
1000 3269 4278
1000 827 1831
1000 1513 2519
1000 277 1284
1000 391 1398
1000 1143 2149
1000 1520 2528
1000 1424 2435
1000 814 1822
1000 2054 3060
1000 1365 2375
1000 819 1825
1000 9 1012
1000 600 1605
1000 1339 2350
1000 1113 2121
1000 710 1714
1000 1667 2676
1000 2754 3763
1000 568 1575
1000 716 1723
1000 1358 2366
1000 301 1307
1000 260 1265
1000 2609 3619
1000 2124 3132
1000 58 1063
1000 1969 2978
1000 863 1873
1000 387 1393
1000 1307 2314
1000 1031 2038
1000 643 1651
1000 1954 2962
1000 1383 2390
1000 464 1471
1000 33 1037
1000 1193 2201
1000 2650 3661
1000 419 1424
1000 793 1800
1000 204 1212
1000 831 1836
1000 1842 2853
1000 591 1596
1100 1938 3046
1100 941 2048
1100 2361 3471
1100 1217 2325
1100 211 1318
1100 1789 2897
1100 692 1800
1100 18 1120
1100 1113 2225
1100 577 1683
1100 732 1836
1100 809 1918
1100 549 1655
1100 1482 2589
1100 515 1621
1100 1374 2479
1100 1223 2332
1100 969 2075
1100 3739 4849
1100 1428 2539
1100 979 2086
1100 529 1635
1100 1384 2490
1100 1256 2366
1100 1913 3023
1100 1485 2592
1100 1223 2332
1100 2385 3495
1100 135 1241
1100 1623 2729
1100 73 1177
1100 245 1349
1100 1577 2683
1100 819 1926
1100 188 1295
1100 1699 2806
1100 1213 2323
1100 1328 2438
1100 2035 3143
1100 1000 2104
1100 63 1169
1100 451 1557
1100 517 1625
1100 3615 4730
1100 988 2096
1100 854 1962
1100 45 1148
1100 392 1496
1100 448 1554
1100 170 1276
1100 975 2083
1100 2511 3621
1100 1789 2903
1100 760 1868
1100 867 1971
1100 1437 2543
1100 776 1887
1100 143 1248
1100 531 1640
1100 864 1972
1100 487 1595
1100 1375 2483
1100 48 1153
1100 1170 2280
1100 968 2074
1100 142 1247
1100 1006 2113
1100 2598 3707
1100 2321 3432
1100 828 1937
1100 1176 2285
1100 164 1268
1100 975 2082
1100 2037 3144
1100 858 1966
1100 534 1642
1100 813 1918
1100 506 1609
1100 403 1511
1100 92 1196
1100 897 2004
1100 1406 2515
1100 1610 2718
1100 985 2091
1100 443 1548
1100 1191 2298
1100 193 1300
1100 84 1187
1100 1374 2482
1100 45 1149
1100 1277 2385
1100 385 1490
1100 272 1377
1100 2256 3366
1100 1541 2651
1100 111 1215
1100 1149 2258
1100 683 1793
1100 2021 3131
1100 399 1507
1200 741 1947
1200 220 1428
1200 1485 2693
1200 756 1960
1200 536 1742
1200 685 1894
1200 798 2006
1200 811 2017
1200 1617 2827
1200 621 1828
1200 1628 2834
1200 665 1873
1200 1279 2487
1200 454 1664
1200 1889 3099
1200 1001 2208
1200 585 1792
1200 1557 2764
1200 1392 2598
1200 3431 4640
1200 988 2197
1200 1521 2729
1200 1205 2412
1200 2095 3307
1200 2174 3384
1200 788 1995
1200 2101 3309
1200 306 1511
1200 1279 2488
1200 866 2076
1200 327 1531
1200 863 2068
1200 519 1727
1200 894 2102
1200 1326 2532
1200 439 1649
1200 1415 2624
1200 259 1462
1200 1151 2359
1200 1630 2837
1200 1629 2840
1200 320 1525
1200 1368 2576
1200 722 1931
1200 1075 2280
1200 2168 3376
1200 1652 2859
1200 1078 2282
1200 25 1229
1200 678 1885
1200 904 2112
1200 983 2195
1200 424 1628
1200 711 1916
1200 3611 4821
1200 2037 3243
1200 532 1735
1200 154 1357
1200 3941 5153
1200 1210 2417
1200 2253 3461
1200 466 1675
1200 958 2169
1200 603 1808
1200 5064 6275
1200 2096 3304
1200 853 2057
1200 4101 5318
1200 2777 3991
1200 517 1726
1200 704 1912
1200 1628 2835
1200 1920 3132
1200 2020 3230
1200 415 1622
1200 2816 4023
1200 1413 2621
1200 596 1803
1200 454 1660
1200 885 2089
1200 1612 2820
1200 1073 2285
1200 1374 2581
1200 115 1319
1200 3995 5205
1200 315 1523
1200 910 2120
1200 1474 2684
1200 797 2001
1200 1850 3058
1200 2108 3313
1200 963 2169
1200 1118 2326
1200 865 2069
1200 2280 3489
1200 2163 3374
1200 1006 2213
1200 2059 3268
1200 2169 3380
1200 752 1962
1300 1831 3141
1300 40 1343
1300 1309 2614
1300 293 1598
1300 215 1520
1300 1749 3055
1300 837 2143
1300 606 1910
1300 976 2284
1300 1436 2745
1300 2365 3674
1300 129 1435
1300 285 1591
1300 1041 2346
1300 1867 3176
1300 798 2104
1300 713 2025
1300 623 1933
1300 1391 2700
1300 1809 3116
1300 331 1637
1300 405 1710
1300 693 2002
1300 1133 2437
1300 268 1575
1300 2130 3442
1300 341 1648
1300 1232 2540
1300 136 1443
1300 481 1785
1300 2869 4176
1300 1177 2483
1300 1141 2450
1300 907 2218
1300 2291 3601
1300 234 1541
1300 614 1923
1300 1361 2670
1300 1668 2976
1300 1360 2669
1300 2924 4235
1300 795 2099
1300 825 2133
1300 588 1894
1300 1356 2663
1300 1188 2497
1300 2860 4169
1300 1147 2458
1300 1787 3093
1300 2164 3470
1300 2639 3948
1300 3073 4382
1300 152 1459
1300 689 1998
1300 1815 3124
1300 428 1734
1300 1193 2501
1300 1315 2623
1300 670 1975
1300 1667 2973
1300 893 2198
1300 2901 4213
1300 1445 2753
1300 501 1808
1300 1105 2413
1300 157 1466
1300 2094 3404
1300 2565 3874
1300 149 1454
1300 3036 4344
1300 1726 3035
1300 579 1883
1300 188 1495
1300 2222 3529
1300 2878 4186
1300 656 1963
1300 621 1927
1300 1887 3197
1300 1058 2364
1300 628 1934
1300 805 2110
1300 608 1915
1300 908 2216
1300 3550 4860
1300 2696 4004
1300 3161 4468
1300 1020 2326
1300 3106 4414
1300 742 2052
1300 1092 2399
1300 1366 2676
1300 1113 2420
1300 680 1986
1300 2464 3771
1300 1970 3278
1300 3520 4832
1300 476 1783
1300 2964 4273
1300 9 1312
1300 3591 4903
1400 924 2335
1400 298 1703
1400 171 1576
1400 1272 2677
1400 202 1606
1400 135 1538
1400 2219 3629
1400 1686 3093
1400 1292 2696
1400 525 1931
1400 669 2076
1400 909 2314
1400 2340 3747
1400 211 1617
1400 3226 4637
1400 1050 2458
1400 962 2369
1400 1548 2957
1400 134 1539
1400 272 1677
1400 640 2048
1400 2232 3643
1400 2996 4408
1400 2016 3428
1400 2206 3613
1400 318 1724
1400 98 1502
1400 2092 3500
1400 1580 2989
1400 2379 3784
1400 2315 3720
1400 1738 3148
1400 2275 3684
1400 469 1875
1400 416 1824
1400 2570 3979
1400 693 2100
1400 1628 3038
1400 4169 5582
1400 3557 4971
1400 326 1733
1400 2255 3667
1400 895 2304
1400 3766 5177
1400 116 1523
1400 1854 3268
1400 446 1853
1400 2834 4248
1400 1655 3062
1400 1380 2788
1400 823 2229
1400 2557 3967
1400 1742 3149
1400 609 2015
1400 1446 2857
1400 236 1641
1400 1741 3147
1400 1922 3329
1400 562 1968
1400 1153 2562
1400 351 1755
1400 1691 3099
1400 1336 2743
1400 1531 2940
1400 1479 2885
1400 1436 2845
1400 936 2343
1400 1858 3263
1400 3211 4619
1400 3383 4797
1400 3316 4725
1400 2162 3572
1400 276 1681
1400 23 1426
1400 1350 2754
1400 446 1851
1400 1258 2664
1400 2182 3590
1400 2159 3568
1400 366 1773
1400 1346 2755
1400 1060 2467
1400 519 1930
1400 66 1469
1400 246 1654
1400 40 1446
1400 291 1696
1400 1163 2569
1400 2983 4394
1400 985 2392
1400 2571 3981
1400 418 1824
1400 3095 4505
1400 612 2020
1400 1017 2426
1400 530 1939
1400 2671 4082
1400 2428 3839
1400 1151 2559
1400 1998 3408
1500 1208 2716
1500 1741 3245
1500 2578 4086
1500 1930 3439
1500 1102 2609
1500 1366 2874
1500 1486 2990
1500 1917 3423
1500 4575 6087
1500 2614 4125
1500 557 2061
1500 1568 3073
1500 2549 4060
1500 1244 2752
1500 2505 4014
1500 1098 2606
1500 1009 2515
1500 4807 6318
1500 5 1507
1500 756 2263
1500 1428 2937
1500 1051 2558
1500 197 1702
1500 123 1629
1500 654 2161
1500 502 2009
1500 457 1961
1500 2262 3770
1500 2217 3725
1500 2059 3566
1500 3226 4736
1500 909 2418
1500 1250 2761
1500 1349 2857
1500 1993 3501
1500 573 2083
1500 1777 3284
1500 2171 3680
1500 1227 2735
1500 928 2435
1500 1012 2520
1500 110 1614
1500 1859 3367
1500 1547 3055
1500 266 1773
1500 1745 3250
1500 1422 2929
1500 460 1969
1500 1419 2928
1500 2102 3609
1500 2749 4256
1500 759 2270
1500 2285 3792
1500 506 2010
1500 164 1668
1500 1623 3129
1500 3395 4903
1500 253 1756
1500 2009 3521
1500 557 2063
1500 102 1607
1500 1764 3274
1500 2352 3859
1500 1058 2563
1500 1260 2769
1500 5580 7087
1500 54 1558
1500 321 1829
1500 2531 4041
1500 601 2108
1500 343 1848
1500 907 2411
1500 1078 2586
1500 1742 3249
1500 1693 3205
1500 1126 2638
1500 965 2473
1500 173 1679
1500 1843 3351
1500 1581 3089
1500 1187 2695
1500 1811 3323
1500 389 1895
1500 1634 3139
1500 2896 4405
1500 3019 4528
1500 297 1802
1500 2110 3617
1500 1197 2705
1500 171 1676
1500 2596 4106
1500 1097 2604
1500 1632 3138
1500 1178 2686
1500 128 1632
1500 333 1840
1500 608 2112
1500 2253 3765
1500 1567 3073
1500 1680 3194
1600 622 2231
1600 1659 3268
1600 2845 4453
1600 3416 5029
1600 3256 4867
1600 1246 2852
1600 2542 4149
1600 5374 6985
1600 2685 4295
1600 707 2313
1600 2281 3889
1600 2666 4274
1600 1310 2919
1600 1415 3027
1600 1867 3476
1600 116 1722
1600 2446 4055
1600 234 1840
1600 1981 3588
1600 3810 5419
1600 2100 3708
1600 778 2387
1600 3061 4669
1600 38 1641
1600 1493 3100
1600 953 2560
1600 2189 3798
1600 2114 3719
1600 2924 4534
1600 1711 3322
1600 4 1605
1600 2404 4016
1600 2029 3636
1600 1730 3336
1600 340 1946
1600 2861 4474
1600 1905 3514
1600 1548 3154
1600 2155 3764
1600 674 2278
1600 1281 2885
1600 2652 4259
1600 4864 6474
1600 297 1904
1600 1891 3497
1600 24 1629
1600 1105 2712
1600 2630 4239
1600 1727 3335
1600 1165 2771
1600 1714 3321
1600 1148 2753
1600 2344 3953
1600 146 1751
1600 513 2118
1600 1275 2881
1600 1544 3152
1600 2642 4253
1600 1417 3027
1600 3186 4793
1600 147 1752
1600 946 2552
1600 1760 3367
1600 209 1815
1600 1391 2996
1600 837 2446
1600 2146 3755
1600 1596 3207
1600 1692 3301
1600 1139 2749
1600 1170 2776
1600 818 2425
1600 1250 2855
1600 1003 2610
1600 337 1941
1600 2190 3799
1600 501 2108
1600 2698 4305
1600 691 2295
1600 2911 4524
1600 3045 4657
1600 2283 3890
1600 4508 6117
1600 850 2457
1600 5070 6681
1600 414 2019
1600 850 2457
1600 2781 4390
1600 2300 3912
1600 2403 4012
1600 190 1795
1600 1149 2759
1600 2900 4510
1600 1862 3470
