n przestawienia porównania czas
500 3275 3409 0.052
500 3150 3346 0.062
500 3173 3097 0.064
500 3299 3555 0.053
500 3279 3554 0.052
500 3129 3075 0.055
500 3306 3394 0.071
500 3499 3766 0.055
500 3459 3780 0.056
500 3404 3388 0.067
500 3420 3793 0.057
500 3133 3290 0.049
500 3322 3313 0.052
500 3452 3590 0.075
500 3644 3810 0.082
500 3083 3141 0.048
500 3320 3608 0.07
500 3268 3399 0.049
500 3234 3306 0.055
500 3061 3207 0.053
500 3390 3527 0.078
500 1806 1754 0.036
500 3640 3860 0.069
500 3037 3620 0.048
500 3328 3658 0.065
500 3525 3977 0.048
500 3424 3898 0.049
500 3459 3529 0.048
500 3228 3213 0.042
500 3432 4022 0.051
500 3536 3843 0.048
500 3290 3723 0.055
500 3333 3376 0.076
500 3129 3557 0.05
500 3616 4071 0.057
500 3377 3355 0.051
500 3310 3545 0.053
500 3257 3647 0.052
500 3339 3463 0.054
500 3300 3610 0.06
500 3449 3625 0.067
500 3413 3727 0.058
500 3270 3470 0.063
500 3450 3856 0.073
500 3180 3411 0.06
500 3379 3530 0.064
500 3564 3930 0.096
500 1752 1835 0.037
500 1779 1666 0.034
500 3525 3599 0.079
500 3349 3693 0.056
500 1644 1739 0.027
500 3474 3940 0.059
500 3470 3599 0.062
500 3356 3913 0.059
500 3283 3306 0.066
500 3376 3869 0.076
500 3546 3673 0.057
500 3316 3422 0.06
500 3336 3407 0.062
500 3241 3443 0.051
500 3321 3459 0.047
500 3563 3725 0.052
500 3305 3701 0.052
500 3279 3497 0.059
500 3618 3651 0.074
500 3492 3859 0.048
500 3231 3668 0.047
500 3257 3571 0.047
500 3443 3604 0.049
500 3265 3355 0.045
500 3364 3830 0.051
500 3355 3484 0.046
500 3242 3569 0.066
500 1789 2113 0.034
500 3236 3806 0.045
500 3131 3301 0.06
500 3427 4121 0.06
500 3465 3919 0.077
500 3381 3916 0.066
500 3228 3427 0.064
500 3218 3374 0.066
500 3542 3812 0.06
500 3172 3053 0.065
500 3264 3378 0.058
500 3286 3539 0.073
500 3474 3459 0.07
500 3037 3204 0.069
500 3216 3377 0.077
500 3460 3853 0.075
500 3355 3672 0.082
500 3295 3329 0.055
500 3529 3999 0.077
500 3526 3762 0.059
500 3181 3214 0.05
600 4010 4284 0.079
600 2192 2644 0.039
600 3794 4447 0.052
600 3918 3962 0.054
600 3971 4203 0.055
600 3857 4212 0.062
600 4283 4530 0.06
600 4039 4487 0.055
600 4018 4555 0.054
600 4222 4618 0.055
600 4151 4168 0.057
600 2145 2416 0.028
600 3996 4064 0.059
600 3699 4104 0.05
600 3876 3886 0.052
600 4171 4268 0.053
600 3954 4415 0.055
600 4009 4459 0.063
600 3887 4495 0.067
600 4204 4713 0.06
600 2088 2534 0.029
600 2184 2165 0.031
600 3986 4239 0.056
600 3985 4158 0.06
600 4253 4481 0.057
600 3828 4649 0.054
600 3768 3715 0.049
600 4000 4065 0.054
600 4161 4419 0.057
600 3867 3962 0.051
600 3845 4088 0.054
600 4063 4305 0.056
600 4143 4564 0.058
600 3933 4554 0.056
600 3946 4432 0.06
600 4117 4139 0.054
600 4118 4267 0.054
600 4020 4186 0.054
600 4146 4622 0.075
600 4119 4345 0.054
600 4279 4742 0.061
600 4019 4097 0.054
600 2199 2395 0.041
600 4001 4228 0.055
600 4240 4996 0.056
600 3945 4437 0.054
600 4103 4601 0.054
600 4046 4476 0.059
600 4130 4622 0.058
600 4104 4006 0.065
600 3576 3797 0.048
600 3893 4000 0.051
600 3728 3746 0.05
600 4000 4719 0.058
600 3877 3919 0.06
600 4138 4325 0.057
600 3988 4527 0.06
600 4272 4505 0.061
600 3822 4222 0.059
600 3993 4323 0.054
600 4242 4246 0.057
600 3435 3460 0.044
600 2115 2245 0.03
600 4028 4399 0.071
600 3773 3851 0.05
600 3715 3852 0.05
600 3908 4220 0.054
600 4262 4264 0.056
600 4170 4417 0.055
600 3954 3941 0.055
600 4181 4588 0.056
600 3601 3983 0.051
600 3989 4060 0.055
600 4274 4756 0.057
600 3929 4653 0.056
600 3854 4175 0.054
600 4181 4445 0.087
600 4042 4101 0.053
600 4092 4233 0.053
600 4032 4320 0.052
600 3950 4039 0.052
600 4151 4706 0.056
600 4293 4785 0.056
600 4009 4400 0.055
600 3819 3976 0.052
600 3867 4364 0.054
600 3777 4130 0.052
600 4150 4559 0.056
600 4217 4517 0.062
600 4121 4324 0.056
600 4046 4087 0.053
600 4099 4441 0.059
600 3944 4247 0.053
600 4158 4234 0.076
600 4154 4074 0.059
600 3688 3652 0.047
600 4048 4233 0.053
600 4169 4507 0.06
600 4048 4316 0.056
600 4005 4401 0.053
700 4530 4766 0.069
700 4739 5280 0.075
700 4853 5044 0.072
700 4899 5090 0.064
700 4951 5243 0.063
700 4339 4722 0.058
700 4869 4953 0.075
700 4648 4995 0.062
700 4691 5280 0.063
700 4859 5335 0.063
700 4416 4724 0.059
700 4908 5152 0.064
700 2414 2764 0.035
700 4748 4596 0.061
700 2421 2405 0.032
700 4544 4878 0.061
700 4710 4973 0.061
700 4486 4484 0.06
700 4899 5031 0.063
700 2555 2422 0.031
700 2598 2847 0.037
700 4640 4821 0.058
700 2448 2609 0.033
700 4898 5524 0.08
700 4627 5488 0.062
700 4422 4658 0.057
700 4977 5320 0.065
700 4632 4846 0.061
700 4279 4343 0.06
700 4577 5355 0.062
700 4527 4750 0.06
700 4585 5049 0.063
700 4353 4478 0.057
700 4889 5490 0.067
700 4836 5561 0.063
700 4868 5189 0.07
700 4859 5196 0.065
700 4639 5122 0.073
700 4690 4750 0.076
700 2577 2716 0.05
700 4633 5245 0.066
700 4709 5224 0.063
700 4544 5194 0.062
700 4982 4960 0.066
700 4831 5105 0.059
700 4847 5065 0.064
700 4809 5058 0.061
700 2503 2546 0.033
700 4684 4953 0.062
700 4267 4750 0.058
700 4711 5027 0.071
700 4408 5234 0.06
700 4697 5060 0.058
700 4702 5502 0.071
700 4680 4814 0.063
700 4397 4919 0.058
700 4740 5433 0.064
700 4806 5156 0.063
700 4478 4583 0.073
700 4755 4884 0.061
700 4643 4835 0.068
700 4828 4983 0.065
700 4904 5471 0.067
700 4799 5418 0.064
700 4996 5639 0.068
700 2571 2759 0.034
700 4910 5290 0.067
700 4637 4534 0.076
700 4715 4645 0.065
700 4670 5330 0.061
700 4638 5080 0.064
700 4899 5080 0.062
700 4678 5219 0.08
700 4590 5115 0.065
700 4700 5402 0.062
700 4708 4988 0.071
700 4723 5173 0.064
700 4698 5061 0.06
700 4755 4951 0.066
700 4883 5134 0.066
700 4845 5283 0.062
700 4285 4800 0.064
700 4767 5482 0.066
700 2397 2855 0.033
700 2049 2228 0.029
700 4700 4751 0.07
700 4272 4199 0.056
700 4919 5415 0.065
700 4637 5241 0.061
700 4779 4979 0.064
700 4797 5211 0.063
700 4363 4990 0.059
700 4714 5080 0.062
700 4765 5624 0.063
700 4592 4556 0.059
700 4452 4995 0.059
700 4824 5028 0.061
700 4696 4993 0.064
700 4391 4821 0.056
700 4881 5505 0.064
800 5660 5875 0.073
800 5455 5864 0.077
800 5452 5813 0.073
800 5455 5632 0.082
800 5595 5766 0.07
800 2922 3213 0.04
800 5294 5921 0.075
800 5381 5850 0.085
800 5643 5810 0.072
800 5257 5404 0.07
800 5582 5410 0.093
800 5409 5483 0.069
800 2734 3022 0.037
800 5296 5348 0.07
800 5305 5692 0.088
800 5433 5506 0.07
800 5440 6154 0.07
800 5583 6396 0.076
800 5639 5895 0.074
800 5518 5678 0.071
800 5671 5943 0.085
800 5470 6162 0.086
800 5335 6164 0.071
800 5521 5906 0.069
800 5276 6108 0.07
800 5340 5749 0.07
800 5582 5635 0.07
800 5190 5473 0.079
800 5373 5823 0.069
800 5254 5814 0.068
800 5347 6040 0.075
800 5617 5704 0.074
800 5523 5871 0.072
800 5706 5983 0.077
800 5461 6381 0.071
800 5142 5398 0.069
800 5518 5901 0.07
800 2378 2498 0.029
800 5416 5843 0.068
800 2374 2193 0.03
800 5565 6368 0.085
800 5343 5785 0.069
800 5378 5733 0.071
800 5355 5566 0.087
800 4922 4903 0.065
800 5546 6231 0.074
800 5544 5661 0.072
800 5281 5750 0.073
800 5447 5687 0.075
800 5197 5186 0.071
800 5540 6059 0.073
800 5606 5449 0.073
800 5643 5753 0.073
800 5521 5750 0.071
800 5338 5647 0.067
800 5391 5715 0.071
800 5272 5694 0.07
800 5296 5312 0.067
800 5736 6163 0.075
800 5539 5973 0.072
800 5419 5638 0.072
800 5283 5850 0.073
800 4807 5473 0.062
800 2854 3405 0.055
800 2451 3070 0.038
800 5353 5294 0.071
800 4919 5066 0.062
800 4927 5561 0.085
800 5521 5667 0.07
800 2765 3131 0.037
800 5140 5524 0.081
800 5555 6033 0.085
800 5504 6059 0.074
800 5596 6257 0.078
800 5631 5853 0.075
800 5352 5808 0.07
800 5443 6016 0.072
800 4932 5651 0.065
800 5513 6013 0.072
800 5657 6438 0.074
800 5355 5739 0.071
800 5381 5703 0.07
800 4878 4784 0.06
800 5071 5307 0.066
800 5121 5377 0.085
800 5506 5928 0.074
800 5501 6068 0.074
800 5530 5670 0.069
800 5462 5507 0.069
800 5765 6347 0.077
800 5654 6067 0.075
800 5525 5635 0.071
800 5513 6523 0.096
800 5739 6126 0.072
800 5337 5415 0.073
800 5220 5257 0.066
800 5531 5900 0.085
800 2891 3484 0.037
800 5570 5474 0.068
800 5702 5720 0.095
900 5575 6062 0.091
900 6374 6512 0.095
900 5360 6152 0.077
900 6136 6549 0.076
900 6164 6472 0.078
900 5579 5577 0.071
900 5958 7041 0.077
900 6330 6455 0.082
900 6046 6452 0.084
900 5610 6416 0.077
900 5829 6656 0.078
900 3187 3615 0.047
900 6107 6559 0.076
900 5710 6380 0.076
900 6310 6183 0.082
900 6360 7063 0.081
900 6283 7078 0.08
900 5742 5917 0.073
900 5876 5595 0.086
