n przestawienia porównania czas
600 4237 4069 0.066
600 4265 4293 0.059
600 4239 4586 0.052
600 4199 4615 0.051
600 4430 4881 0.053
600 4153 4160 0.049
600 4424 4682 0.053
600 4307 4499 0.053
600 3875 4173 0.046
600 4350 4543 0.052
600 4016 4412 0.048
600 4311 4595 0.052
600 4133 4107 0.051
600 4223 4390 0.051
600 4167 4051 0.049
600 4331 4657 0.066
600 4349 4374 0.051
600 4347 4331 0.049
600 4234 4300 0.051
600 4434 4745 0.051
600 4375 4473 0.052
600 4573 4520 0.052
600 4488 5073 0.055
600 4341 4355 0.051
600 4372 4597 0.072
600 4243 4613 0.05
600 4231 4649 0.048
600 4343 4159 0.052
600 4188 4357 0.049
600 4330 4433 0.051
600 3983 4256 0.05
600 4211 4211 0.05
600 4320 4421 0.052
600 4460 4570 0.053
600 4581 4854 0.053
600 4380 4448 0.05
600 4216 4441 0.05
700 4999 4874 0.058
700 4755 4579 0.06
700 4847 4927 0.063
700 5063 5392 0.064
700 5408 5636 0.061
700 4935 4877 0.07
700 4857 4920 0.066
700 5002 5151 0.059
700 5008 5472 0.059
700 5018 5128 0.059
700 5284 5891 0.058
700 5179 5577 0.062
700 5121 5360 0.06
700 4972 5088 0.057
700 4787 4850 0.057
700 5358 5504 0.06
700 4796 4670 0.063
700 5240 5338 0.063
700 5137 5798 0.063
700 4760 5211 0.057
700 5247 5550 0.061
700 4896 5439 0.076
700 4991 5101 0.059
700 4997 5429 0.056
700 5306 5608 0.067
700 4653 4980 0.055
700 4856 4953 0.061
700 5153 5004 0.068
700 5151 5482 0.085
700 4985 5155 0.057
700 4891 5027 0.057
700 5153 5163 0.078
700 4847 5131 0.057
700 4836 4694 0.072
700 5144 5070 0.06
700 5085 5125 0.058
700 4966 5072 0.059
700 5064 5736 0.068
700 4880 5211 0.058
700 5060 4891 0.065
700 4773 4869 0.056
700 5035 5021 0.092
700 4979 5547 0.096
700 5080 5515 0.078
700 5181 5142 0.059
700 5062 5255 0.066
700 5077 5266 0.061
700 5260 5162 0.057
700 5162 5199 0.064
700 5176 5464 0.059
700 4862 5107 0.057
700 5049 5224 0.061
700 5068 5665 0.063
700 4835 5160 0.056
700 5159 5085 0.061
700 5181 5525 0.062
700 4879 5554 0.059
700 4913 5322 0.065
700 5074 4872 0.076
700 5059 5382 0.059
700 5086 5788 0.062
700 4807 4911 0.057
700 4816 4790 0.055
700 5082 5339 0.062
700 4960 4991 0.06
700 5208 5444 0.06
700 5214 5592 0.061
700 4894 5588 0.06
700 5068 5172 0.057
700 5117 5755 0.058
700 4715 5225 0.057
700 5285 5471 0.063
700 4880 4985 0.056
700 5128 5586 0.059
700 5190 5659 0.062
700 5083 5228 0.061
700 4834 4719 0.054
700 5233 5282 0.061
700 5146 5334 0.058
700 5525 5587 0.081
700 5135 5171 0.06
700 5235 5787 0.06
700 5358 5450 0.059
700 5360 5290 0.06
700 4922 4619 0.062
700 5144 5419 0.061
700 5325 5702 0.063
700 5147 4987 0.06
700 4960 4921 0.058
700 5045 5252 0.061
700 5276 5487 0.061
700 5265 5332 0.059
700 5260 5684 0.062
700 4928 5318 0.058
700 4971 5293 0.058
700 4989 5482 0.079
700 5179 5234 0.06
700 5171 5266 0.062
700 5306 5473 0.069
700 5020 5337 0.078
800 5658 6402 0.083
800 5755 5926 0.066
800 5955 6400 0.073
800 5719 5751 0.066
800 5791 6098 0.078
800 5791 6087 0.068
800 5741 6053 0.07
800 5477 5603 0.072
800 5810 5889 0.088
800 5919 5865 0.067
800 5792 5820 0.064
800 5590 5643 0.065
800 5922 5763 0.066
800 5749 6049 0.07
800 5598 5745 0.069
800 5657 5795 0.064
800 6183 6809 0.071
800 5896 6533 0.07
800 5608 5703 0.073
800 6033 6632 0.07
800 6104 6343 0.068
800 5831 6593 0.067
800 5588 5885 0.078
800 5799 6185 0.067
800 6229 6570 0.067
800 6158 6452 0.07
800 5973 6358 0.069
800 5924 6375 0.08
800 6249 6433 0.07
800 5419 6225 0.067
800 5807 6173 0.069
800 5947 6508 0.075
800 5767 6401 0.066
800 5683 5852 0.069
800 5877 6250 0.073
800 5780 5655 0.064
800 5940 6123 0.07
800 5858 5954 0.099
800 5829 5742 0.083
800 6050 6389 0.069
800 5627 6078 0.065
800 5860 6223 0.066
800 5733 6550 0.069
800 5819 6249 0.066
800 6134 6888 0.069
800 5995 6285 0.079
800 6094 6734 0.074
800 5726 6047 0.064
800 5672 5810 0.065
800 5711 6299 0.07
800 5703 6102 0.068
800 5577 5734 0.065
800 6182 6121 0.068
800 5885 6190 0.068
800 5981 6111 0.098
800 5728 6038 0.065
800 5794 5841 0.068
800 5761 6117 0.068
800 5902 5969 0.064
800 5657 5759 0.068
800 5588 5721 0.07
800 5748 5825 0.07
800 5797 5550 0.065
800 6059 6515 0.082
800 5731 6223 0.073
800 5953 5936 0.074
800 5524 5847 0.064
800 5317 5521 0.063
800 6114 6347 0.097
800 5900 5832 0.068
800 6240 6385 0.071
800 5905 6413 0.069
800 5750 5720 0.066
800 6026 6308 0.069
800 5851 6144 0.069
800 5723 5910 0.066
800 5654 5569 0.063
800 5657 5933 0.067
800 5955 6583 0.068
800 5954 5745 0.069
800 5846 6013 0.069
800 5847 5815 0.069
800 5866 6023 0.066
800 5857 6290 0.076
800 6184 6531 0.068
800 5697 6446 0.067
800 5607 5572 0.065
800 6162 6358 0.071
800 5909 5793 0.068
800 6012 6429 0.078
800 5887 6264 0.069
800 5909 6383 0.068
800 5434 5752 0.063
800 5549 5865 0.064
800 6219 6630 0.081
800 5755 5941 0.082
800 5841 5943 0.07
800 5377 5962 0.064
800 5180 5378 0.058
800 5812 5843 0.067
900 6383 6552 0.09
900 6768 7696 0.088
900 6431 7016 0.079
900 6682 6854 0.086
900 6499 7008 0.076
900 6591 6712 0.077
900 6778 6584 0.072
900 6333 6698 0.089
900 6652 6794 0.1
900 6438 6702 0.073
900 6871 7009 0.075
900 6631 7242 0.076
900 6711 7283 0.075
900 6636 7245 0.078
900 6478 6496 0.076
900 7071 7854 0.08
900 6665 6904 0.074
900 6429 6857 0.079
900 6763 6796 0.074
900 6760 6835 0.079
900 6332 6482 0.073
900 6369 6846 0.072
900 6417 6406 0.073
900 6883 7352 0.077
900 6741 6742 0.084
900 6450 6823 0.08
900 6457 6628 0.074
900 6389 6655 0.075
900 7056 7600 0.078
900 6468 6789 0.104
900 6395 6852 0.075
900 6372 6932 0.077
900 6527 6476 0.097
900 6322 6829 0.068
900 6536 6412 0.071
900 6397 6348 0.074
900 6584 6745 0.071
900 6528 7035 0.076
900 6809 7362 0.075
900 6655 6558 0.073
900 6163 6763 0.072
900 6295 6555 0.073
900 6923 7403 0.084
900 6708 6970 0.097
900 7262 7941 0.082
900 6713 6702 0.074
900 6791 7038 0.078
900 5960 5759 0.089
900 6671 6566 0.077
900 6574 6826 0.077
900 6736 7012 0.076
900 6740 7308 0.081
900 6556 7192 0.075
900 6975 7058 0.077
900 6580 6893 0.08
900 6478 6507 0.097
900 6851 7080 0.092
900 6462 6896 0.11
900 6331 6639 0.085
900 6807 7533 0.079
900 6426 6817 0.075
900 6843 7178 0.077
900 6242 6537 0.073
900 6497 6387 0.073
900 6621 6903 0.09
900 6318 6633 0.08
900 6676 7316 0.102
900 6074 6331 0.069
900 6402 6318 0.071
900 6445 6713 0.085
900 6718 7368 0.075
900 6071 6377 0.075
900 6822 7451 0.084
900 6916 7091 0.082
900 6672 6659 0.072
900 6628 6645 0.076
900 6328 6337 0.074
900 6566 6794 0.081
900 6600 6787 0.077
900 6320 6497 0.075
900 6680 7011 0.091
900 6285 6324 0.083
900 6873 6951 0.105
900 6340 6707 0.086
900 6823 7229 0.103
900 6428 6934 0.086
900 6493 7133 0.082
900 6552 7040 0.129
900 6695 7015 0.078
900 6257 6545 0.08
900 6873 6816 0.099
900 6910 7087 0.09
900 6835 7563 0.087
900 6759 6946 0.084
900 6843 7036 0.094
900 6609 7114 0.093
900 6178 6410 0.103
900 6209 6547 0.076
900 6746 7208 0.086
900 6552 7052 0.076
1000 7052 7010 0.086
1000 7432 8408 0.107
1000 7307 7891 0.086
1000 7572 7652 0.09
1000 7183 7956 0.089
1000 7240 7870 0.09
1000 7363 7516 0.101
1000 7168 7409 0.109
1000 7480 7323 0.081
1000 7179 7052 0.098
1000 7115 7412 0.081
1000 7290 8092 0.08
1000 7213 7455 0.084
1000 7443 7214 0.079
1000 7574 7766 0.109
1000 7058 7639 0.08
1000 7294 7707 0.081
1000 7411 7484 0.082
1000 7715 8115 0.083
1000 7368 7454 0.081
1000 7436 8031 0.092
1000 7114 7713 0.077
1000 7252 7894 0.08
1000 7159 7263 0.079
1000 7203 7174 0.085
1000 7441 7623 0.083
1000 7137 7023 0.082
1000 7069 7841 0.089
1000 7442 7692 0.08
1000 7455 7936 0.086
1000 7276 7946 0.085
1000 7792 8467 0.087
1000 6997 7351 0.085
1000 7356 8181 0.105
1000 7454 7493 0.114
1000 7397 7726 0.085
1000 7250 7623 0.09
1000 7624 8326 0.085
1000 7399 8009 0.084
1000 7018 7552 0.08
1000 7072 7646 0.082
