n przestawienia porównania czas
700 5297 5570 0.055
700 5067 4925 0.05
700 5231 5104 0.057
700 5489 5455 0.057
700 5358 5612 0.054
700 5345 5348 0.066
700 5294 5633 0.056
700 5466 5183 0.052
700 5303 5555 0.054
700 5031 4980 0.051
700 5336 5295 0.054
700 4791 4595 0.047
700 5098 5062 0.051
700 4991 5334 0.052
700 5254 5543 0.057
700 5050 4873 0.052
700 4926 5287 0.05
700 5075 4977 0.052
700 5543 5676 0.057
700 5210 5434 0.053
700 5004 5314 0.051
700 5277 5824 0.056
700 5298 5116 0.056
700 5170 5217 0.053
700 5389 5345 0.055
700 5272 5024 0.054
700 5369 5782 0.056
700 5281 5593 0.052
700 5355 5327 0.059
700 4981 4642 0.049
700 5223 5747 0.075
700 5303 5489 0.054
700 5341 5364 0.053
700 5530 5749 0.057
700 5478 5447 0.056
700 5431 5598 0.062
700 5432 5873 0.056
700 5032 5054 0.066
700 5438 5529 0.054
700 5241 5410 0.053
700 5362 5455 0.055
700 5452 5947 0.053
700 5232 5163 0.052
700 5257 5404 0.054
700 5389 5423 0.053
700 5210 5058 0.05
700 5103 5275 0.076
700 5354 5412 0.06
700 5316 5245 0.062
700 5020 5115 0.052
700 5363 5416 0.054
700 5291 5405 0.053
700 5267 5258 0.052
700 5238 5576 0.055
700 5273 5381 0.053
700 5476 5166 0.054
700 5387 5982 0.056
700 5472 5846 0.055
700 5166 5294 0.053
700 5333 5687 0.066
700 5203 5450 0.053
700 5376 5715 0.072
700 5110 4862 0.062
800 5787 5694 0.06
800 6109 6245 0.082
800 6238 5954 0.07
800 6173 6587 0.065
800 6185 5960 0.063
800 5696 5602 0.056
800 5980 6054 0.06
800 6144 6363 0.075
800 6143 6567 0.061
800 5937 6486 0.062
800 6385 6734 0.064
800 5889 5980 0.06
800 5941 6270 0.061
800 5638 5625 0.057
800 6196 6104 0.06
800 6170 6332 0.062
800 6035 5741 0.069
800 6183 6348 0.101
800 6143 6578 0.062
800 6099 6076 0.079
800 6029 6529 0.063
800 5556 5457 0.06
800 6199 6326 0.06
800 6059 6100 0.081
800 6182 6268 0.061
800 5679 5591 0.056
800 6132 6528 0.064
800 6235 6482 0.064
800 6166 6329 0.079
800 6139 6257 0.062
800 6332 6605 0.071
800 6178 6537 0.063
800 5922 5991 0.061
800 5836 5746 0.059
800 5818 5481 0.058
800 6268 6295 0.063
800 6091 5778 0.061
800 5744 5958 0.058
800 6061 6759 0.061
800 6068 6200 0.061
800 5949 5933 0.06
800 6082 6590 0.06
800 6016 6549 0.087
800 6023 6222 0.062
800 6139 5895 0.063
800 5843 5790 0.055
800 6133 6901 0.073
800 5927 6001 0.061
800 6111 6587 0.06
800 6228 6162 0.063
800 6056 6049 0.07
800 6115 6464 0.09
800 6302 6347 0.06
800 5882 5875 0.062
800 5991 6419 0.06
800 6083 6226 0.061
800 6164 6461 0.063
800 6123 6539 0.063
800 5945 6055 0.058
800 5964 5915 0.076
800 5983 6025 0.061
800 6091 5951 0.064
800 5954 6270 0.061
800 6004 5757 0.06
800 5948 5992 0.062
800 5902 5998 0.061
800 6190 6167 0.062
800 6081 6128 0.062
800 6005 6213 0.061
800 6075 6188 0.064
800 6046 6664 0.067
800 6083 5807 0.067
800 5965 6861 0.063
800 6241 6183 0.063
800 6065 6094 0.062
800 6367 5867 0.063
800 5990 6602 0.063
800 6178 6461 0.062
800 5978 5910 0.062
800 6135 6782 0.067
800 5959 6276 0.06
800 6091 6504 0.064
800 6061 5839 0.074
800 6000 6206 0.06
800 6121 6477 0.059
800 6234 6595 0.064
800 6199 6585 0.063
800 6147 6083 0.061
800 6075 6384 0.064
800 6154 6145 0.061
800 5958 6049 0.059
800 6189 6019 0.088
800 6007 6156 0.062
800 6458 6987 0.076
800 5861 6207 0.059
800 6278 6523 0.061
800 6086 6089 0.059
800 5914 6583 0.063
800 5754 6026 0.057
800 6215 6177 0.062
900 6808 6834 0.075
900 6517 7309 0.098
900 7297 7312 0.085
900 6758 6740 0.068
900 6645 6772 0.067
900 7000 7095 0.069
900 6796 6606 0.067
900 6891 6596 0.066
900 6920 7040 0.081
900 6864 7208 0.07
900 6845 7033 0.069
900 7169 7358 0.071
900 6581 7080 0.066
900 7326 7408 0.075
900 6421 6374 0.065
900 7030 7595 0.074
900 6829 6665 0.067
900 6613 7222 0.068
900 7090 7056 0.073
900 6908 7031 0.069
900 7040 6978 0.068
900 6851 6861 0.068
900 6921 7025 0.073
900 6723 7111 0.068
900 6633 6534 0.066
900 6555 7047 0.064
900 6990 6883 0.069
900 6469 6258 0.063
900 7193 7238 0.069
900 6863 7367 0.071
900 6241 6658 0.063
900 7038 7591 0.075
900 6885 7161 0.067
900 6785 6744 0.065
900 7026 7455 0.071
900 6805 7263 0.069
900 7079 7329 0.068
900 7087 6842 0.07
900 7001 7642 0.069
900 7025 7416 0.072
900 6838 7519 0.078
900 6654 7246 0.067
900 6857 6529 0.065
900 6663 6363 0.065
900 6845 6770 0.069
900 7056 7444 0.072
900 6999 7394 0.084
900 6501 7076 0.069
900 7308 7431 0.095
900 6962 6780 0.07
900 6895 7287 0.071
900 6758 7311 0.069
900 7204 7802 0.072
900 6675 6961 0.066
900 6767 6654 0.07
900 6583 6781 0.072
900 6816 7319 0.1
900 7026 7210 0.099
900 7087 7549 0.082
900 6667 6513 0.076
900 6947 6898 0.069
900 6933 6850 0.07
900 6902 6807 0.068
900 6788 6839 0.066
900 6783 6966 0.065
900 6775 6447 0.068
900 6887 6941 0.096
900 6975 7287 0.068
900 7113 7237 0.071
900 6745 7257 0.075
900 6681 6691 0.066
900 7094 7568 0.082
900 6970 7357 0.076
900 6992 6867 0.073
900 6644 6980 0.066
900 7062 7426 0.07
900 6492 7268 0.072
900 7016 6774 0.09
900 7053 7197 0.073
900 6723 7064 0.069
900 7006 7402 0.097
900 6690 6903 0.095
900 6823 6760 0.076
900 6843 7343 0.099
900 6759 7304 0.077
900 7002 7004 0.078
900 6486 6762 0.073
900 6989 6566 0.072
900 7016 7194 0.069
900 6941 7060 0.12
900 6808 6630 0.075
900 6868 7019 0.081
900 6874 6747 0.096
900 6926 7166 0.073
900 6552 6443 0.072
900 6642 6952 0.074
900 7002 7532 0.091
900 6667 6902 0.07
900 6690 6277 0.07
900 7273 7265 0.072
1000 7763 8013 0.081
1000 7926 7560 0.095
1000 7534 7478 0.078
1000 7592 7055 0.089
1000 7536 7772 0.104
1000 7696 7900 0.084
1000 7495 7180 0.071
